TimeStamp,Value,ID
6036.0050011111,155.237529398232,USLAB000053
6037.29166777776,1.47883382232144,USLAB000055
6565.74938861112,71.4044036865234,USLAB000056
6037.29166777776,590.788275881043,USLAB000054
6565.70188861112,84.5105209350586,USLAB000057
6565.69097305556,742.89697265625,USLAB000058
6565.71200055553,23.1975975036621,USLAB000059
6565.74877777775,16.9811763763428,USLAB000060
6397.50063861112,1,USLAB000062
6565.74255611108,5.62500190734863,USLAB000061
6194.86063861112,1,USLAB000063
6037.29158388886,5,USLAB000064
6037.29158388886,4,USLAB000065
6026.90955694444,1,USLAB000066
6026.90972416666,1,USLAB000067
6026.90966749999,1,USLAB000068
6026.90955694444,0,USLAB000069
6026.90972416666,1,USLAB000070
6026.90955694444,1,USLAB000071
6026.91083527777,1,USLAB000072
6026.90922388885,1,USLAB000073
6026.90936277774,1,USLAB000074
6026.90955694444,0,USLAB000075
6026.90972416666,1,USLAB000076
6026.90922388885,1,USLAB000077
6026.90936277774,1,USLAB000078
6026.90936277774,1,USLAB000079
6026.9095286111,0,USLAB000080
6037.29155527777,1,USLAB000088
6037.29155527777,1,USLAB000089
6037.29155527777,1,USLAB000090
6037.29155527777,1,USLAB000091
6037.29141722222,1,USLAB000092
6037.29166777776,0,USLAB000093
6037.29166805559,1,USLAB000094
6506.09839,16,USLAB000095
6525.26755666667,19,USLAB000096
6525.20977888889,4,USLAB000097
6037.29144555555,0,USLAB000098
6026.90972416666,0,USLAB000099
6547.64197194444,0,USLAB000101
6547.65094583333,0,USLAB000100
6037.29150000003,1,USLAB000003
6037.29150000003,1,USLAB000002
6037.29150000003,1,USLAB000004
6499.49438777778,4,USLAB000005
6565.7493619444,-1.24075726796901,USLAB000006
6565.7493619444,-3.17996378892517,USLAB000008
6565.7493619444,3.61447713485193,USLAB000007
6565.7492788889,3281.84419368652,USLAB000009
6526.01548305551,0,USLAB000011
6489.76486305555,1,USLAB000013
6489.72875194444,1,USLAB000014
6037.29272305555,4,USLAB000015
6488.42724972222,1,USLAB000016
6036.04252749999,0,USLAB000017
6565.74930611114,0.997525632381439,USLAB000018
6565.74930611114,0.00661806995049119,USLAB000019
6565.74930611114,-0.0609614253044128,USLAB000020
6565.74930611114,-0.034388329833746,USLAB000021
6565.74936166664,0.0572862644655397,USLAB000022
6565.74936166664,-0.66551540783532,USLAB000023
6565.74936166664,0.00181116971384617,USLAB000024
6565.74930611114,0.00433884045166924,USLAB000025
6565.74930611114,-0.064166235101223,USLAB000026
6565.74930611114,0.000829452389169637,USLAB000027
6488.08669416666,0.99786514043808,USLAB000028
6488.08669416666,0.00591958267614245,USLAB000029
6488.08669416666,-0.0551886968314648,USLAB000030
6488.08669416666,-0.0344143807888031,USLAB000031
6565.74789000001,19521.8739049785,USLAB000038
6037.29244527777,472008.34375,USLAB000039
6565.66813833336,-17.390625,USLAB000040
6037.29147166669,0,USLAB000041
6037.29155611111,0,USLAB000042
6565.74808305555,5,USLAB000043
6565.74841611114,5,USLAB000044
6565.74786194444,31.2239608764648,USLAB000045
6565.73680749999,29.0364589691162,USLAB000046
6565.73961222218,32.105037689209,USLAB000047
6565.73688972221,36.5060768127441,USLAB000048
6565.74508416666,31.2239608764648,USLAB000049
6565.72847416666,23.2769107818604,USLAB000050
6565.73405666663,29.6354179382324,USLAB000051
6565.7492788889,16.8111114501953,USLAB000010
6224.52533305552,5,USLAB000012
6224.52505638884,6,RUSSEG000025
6565.7482786111,-2194.72544080671,USLAB000033
6565.7482786111,6388.3905269136,USLAB000032
6565.7482786111,2194.89073496628,USLAB000035
6565.7482786111,758.794578086255,USLAB000034
6565.7482786111,4298.41658232986,USLAB000036
6565.7482786111,-5948.91423874498,USLAB000037
6565.73688888888,56783,USLAB000082
6550.21327777776,10765,USLAB000083
6565.74916666667,1380116715,USLAB000084
6565.7493608333,0.69921875,USLAB000085
6494.34400083337,6,USLAB000087
6488.16516749998,1,USLAB000086
6565.7482786111,1380116710.00569,USLAB000102
6565.74938777778,0.796875,USLAB000085
6565.74941611111,0.8984375,USLAB000085
6565.74958388891,0.00661652907729149,USLAB000019
6565.74963972217,-1.32003648654497,USLAB000006
6565.74944444444,1380116716,USLAB000084
6565.74958388891,0.997525870800018,USLAB000018
6565.74944444444,0,USLAB000085
6565.74958388891,0.00428410928918165,USLAB000025
6565.74958388891,-0.0641583643726073,USLAB000026
6565.74955666668,3282.5753953374,USLAB000009
6565.74963944442,-0.665017124012858,USLAB000023
6565.74963944442,0.0021417717902812,USLAB000024
6565.74955666668,16.8148574829102,USLAB000010
6565.74958388891,-0.0343885570764542,USLAB000021
6565.74958388891,0.000637802179676873,USLAB000027
6565.74963944442,0.0571704246826004,USLAB000022
6565.74958388891,-0.0609575100243092,USLAB000020
6565.74963972217,-3.14660707104349,USLAB000008
6565.7496663889,71.3779296875,USLAB000056
6565.74963972217,3.6252989720397,USLAB000007
6565.74947138886,0.09765625,USLAB000085
6565.74949972219,0.19921875,USLAB000085
6565.74952666667,0.296875,USLAB000085
6565.749555,0.3984375,USLAB000085
6565.74958333333,0.5,USLAB000085
6565.74961027775,0.59765625,USLAB000085
6565.74963861108,0.69921875,USLAB000085
6565.74966555556,0.796875,USLAB000085
6565.74969388889,0.8984375,USLAB000085
6565.74983444446,3283.20729391211,USLAB000009
6565.74986166669,0.00459844609638822,USLAB000025
6565.74986166669,-0.06531536814922,USLAB000026
6565.74983444446,16.8180961608887,USLAB000010
6565.7499172222,-0.6645614755271,USLAB000023
6565.74991749995,-3.1198605374217,USLAB000008
